name,price,category_id,restaurant_id,description,image_url,available,featured,tags,spice_level,pieces_count,preparation_time,is_vegetarian,is_vegan,is_gluten_free,dynamic_pricing,packaging_price,listing_preference
Chips,50,,,"Light, crunchy potato chips tossed with house masala seasoning.",,TRUE,FALSE,"Light,Crunchy,Snack,Vegetarian",,,,TRUE,FALSE,,,,
Cheese/Veg Grilled Sandwich,55,,,"Crispy, buttery toast stuffed with melty cheese and fresh veggies.",,TRUE,FALSE,"Crispy,Cheesy,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Mayo Sandwich,65,,,"Juicy chicken with creamy mayo, layered between soft toasted bread.",,TRUE,FALSE,"Juicy,Creamy,Non-Vegetarian",,,,TRUE,FALSE,,,,
Chicken Grilled Sandwich,70,,,Grilled to perfection with spiced chicken and gooey cheese.,,TRUE,FALSE,"Grilled,Spiced,Non-Vegetarian",,,,TRUE,FALSE,,,,
Club Sandwich,80,,,"A stacked, multi-layered sandwich loaded with chicken, veggies, and mayo.",,TRUE,FALSE,"Stacked,Multi-layered,Non-Vegetarian",,,,TRUE,FALSE,,,,
Veg Kathi Roll,60,,,"Spiced veggies wrapped in a soft, flaky paratha with chutneys.",,TRUE,FALSE,"Spiced,Flaky,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Kathi Roll,75,,,"Juicy chicken cooked with spices, rolled in a soft paratha.",,TRUE,FALSE,"Juicy,Spicy,Non-Vegetarian",,,,TRUE,FALSE,,,,
Veg Wrap,60,,,"Fresh vegetables, sauces, and spices wrapped in a soft tortilla.",,TRUE,FALSE,"Fresh,Spiced,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Wrap,75,,,"Flavorful chicken, crisp veggies, and sauces wrapped in a tortilla.",,TRUE,FALSE,"Flavorful,Crisp,Non-Vegetarian",,,,TRUE,FALSE,,,,
Chicken Shawarma,50,,,"Juicy, spiced chicken wrapped in pita with garlic sauce.",,TRUE,FALSE,"Juicy,Spiced,Non-Vegetarian",,,,TRUE,FALSE,,,,
Masala Chai,35,,,"Bold, spiced tea brewed to perfection with Indian flavors.",,TRUE,FALSE,"Bold,Spiced,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Ginger Black Tea,30,,,Fragrant ginger-infused tea with a soothing aroma.,,TRUE,FALSE,"Fragrant,Soothing,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Cutting Chai,25,,,"Mumbai-style half-cup tea, strong, spiced, and packed with flavor.",,TRUE,FALSE,"Mumbai-style,Strong,Spiced,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Filter Coffee,25,,,,,TRUE,FALSE,"Coffee,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Cappuccino,60,,,,,TRUE,FALSE,"Coffee,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Espresso,40,,,,,TRUE,FALSE,"Coffee,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Hot Chocolate,75,,,"Rich, creamy, and indulgent chocolatey goodness in every sip.",,TRUE,FALSE,"Rich,Creamy,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Iced Coffee,50,,,"Chilled, bold coffee with a refreshing kick for hot days.",,TRUE,FALSE,"Chilled,Bold,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Soft Drinks,25,,,Classic fizzy beverages to refresh and quench your thirst instantly.,,TRUE,FALSE,"Classic,Fizzy,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Smoothie (Seasonal),70,,,"Freshly blended, creamy fruit smoothie packed with vitamins and natural sweetness.",,TRUE,FALSE,"Fresh,Creamy,Seasonal,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Indian Sweets (of the day),X,,,Traditional sweets made with pure ghee and authentic flavors.,,TRUE,FALSE,"Traditional,Ghee,Vegetarian,Assorted",,,,TRUE,FALSE,,,,
Namkeen & Savory Snacks (200gm),40,,,"Crunchy, spiced snacks perfect for munching anytime.",,TRUE,FALSE,"Crunchy,Spiced,Snack,Vegetarian",,,,TRUE,FALSE,,,,
Cake Slice,50,,,"Moist, delicious, and perfectly sweet treat for any occasion.",,TRUE,FALSE,"Moist,Delicious,Sweet,Baked",,,,FALSE,FALSE,,,,
Kalakand,380,,,"Soft milk cake made with reduced milk and sugar, a grainy, creamy delight.",,TRUE,FALSE,"Soft,Milk Cake,Creamy,Vegetarian",,,,TRUE,FALSE,,,,
Milk Cake,380,,,"Fudgy and rich, caramelised just right for a warm, comforting bite.",,TRUE,FALSE,"Fudgy,Rich,Caramelized,Vegetarian",,,,TRUE,FALSE,,,,
Ajmeri Cake,390,,,"A traditional dense milk sweet with a slight tang, unique to North India.",,TRUE,FALSE,"Traditional,Dense,Tangy,Vegetarian",,,,TRUE,FALSE,,,,
Malai Peda,380,,,Creamy balls made with thickened milk and saffron.,,TRUE,FALSE,"Creamy,Saffron,Vegetarian",,,,TRUE,FALSE,,,,
Kesar Peda,380,,,A golden delight flavored with saffron strands.,,TRUE,FALSE,"Golden,Saffron,Vegetarian",,,,TRUE,FALSE,,,,
Bangdi Peda,380,,,"A playful, ring-shaped version of penda loved by all ages.",,TRUE,FALSE,"Playful,Ring-shaped,Vegetarian",,,,TRUE,FALSE,,,,
Rajbhog Barfi,400,,,A rich and festive barfi with nuts and saffron.,,TRUE,FALSE,"Rich,Festive,Nuts,Saffron,Vegetarian",,,,TRUE,FALSE,,,,
Rose Barfi,400,,,Floral and fragrant milk sweet with the essence of rose.,,TRUE,FALSE,"Floral,Fragrant,Rose,Vegetarian",,,,TRUE,FALSE,,,,
Mango Barfi,400,,,Mangoes meet milk solids in this summer-flavoured barfi.,,TRUE,FALSE,"Mango,Summer,Vegetarian",,,,TRUE,FALSE,,,,
Kaju Katli,450,,,"Diamond-shaped cashew fudge, a festival classic.",,TRUE,FALSE,"Diamond-shaped,Cashew,Classic,Vegetarian",,,,TRUE,FALSE,,,,
Kesar Katli,470,,,Cashew sweet enhanced with saffron for royalty in every bite.,,TRUE,FALSE,"Cashew,Saffron,Royal,Vegetarian",,,,TRUE,FALSE,,,,
Pista Katli,500,,,A pistachio take on the classic katri - light green and fragrant.,,TRUE,FALSE,"Pistachio,Light-green,Fragrant,Vegetarian",,,,TRUE,FALSE,,,,
Kaju Pista Roll,500,,,"Rolled beauty of cashew outside, pista paste inside.",,TRUE,FALSE,"Cashew,Pistachio,Rolled,Vegetarian",,,,TRUE,FALSE,,,,
Chocolate Dryfruit,550,,,A fusion sweet blending cocoa and crushed dry fruits.,,TRUE,FALSE,"Fusion,Cocoa,Dry-fruits,Vegetarian",,,,TRUE,FALSE,,,,
Khajur Anjeer Paak,550,,,Naturally sweet - dates and figs come together in a chewy dessert.,,TRUE,FALSE,"Dates,Figs,Chewy,Vegetarian",,,,TRUE,FALSE,,,,
Anjeer Roll,550,,,"Figs, nuts, and love rolled into one delicious bite.",,TRUE,FALSE,"Figs,Nuts,Rolled,Vegetarian",,,,TRUE,FALSE,,,,
Gulab Jamun,300,,,Soft golden balls soaked in rose-cardamom syrup.,,TRUE,FALSE,"Soft,Golden,Syrup-soaked,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Ras Malai,350,,,"Creamy discs floating in saffron milk, soft and luxurious.",,TRUE,FALSE,"Creamy,Saffron,Soft,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Angoori Rabdi,300,,,Mini rasmalais soaked in thick rabdi.,,TRUE,FALSE,"Mini,Thick,Vegetarian",,,,TRUE,FALSE,,,,
Kala Jamun,350,,,"A darker, deeper version of gulab jamun.",,TRUE,FALSE,"Darker,Deeper,Syrup-soaked,Vegetarian",,,,TRUE,FALSE,,,,
Malai Sandesh,400,,,Spongy discs layered with sweet cream.,,TRUE,FALSE,"Spongy,Cream,Vegetarian",,,,TRUE,FALSE,,,,
Ras Gulla,300,,,"Ice cream layered with cake, nuts, and syrup a desi kulfi upgrade.",,TRUE,FALSE,"Ice cream,Layered,Nuts,Vegetarian",,,,TRUE,FALSE,,,,
Jalebi,380,,,"Crispy, golden spirals soaked in saffron-scented sugar syrup.",,TRUE,FALSE,"Crispy,Golden,Syrup-soaked,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Gajar Halwa,370,,,"Carrots grated and simmered with milk, ghee, and love.",,TRUE,FALSE,"Carrots,Ghee,Warm,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Dudhi Halwa,390,,,A green gourd halwa that surprises with its sweetness and texture.,,TRUE,FALSE,"Green Gourd,Sweet,Unique Texture,Vegetarian",,,,TRUE,FALSE,,,,
Pineapple Halwa,450,,,Tropical twist on traditional halwa with chunks of pineapple.,,TRUE,FALSE,"Tropical,Pineapple,Fruity,Vegetarian",,,,TRUE,FALSE,,,,
Mung Dal Halwa,450,,,"Rich, earthy halwa made with yellow lentils and ghee.",,TRUE,FALSE,"Rich,Earthy,Lentils,Ghee,Vegetarian",,,,TRUE,FALSE,,,,
Besan Laddoo,390,,,Nutty gram flour rolled into laddoos with ghee and cardamom.,,TRUE,FALSE,"Nutty,Ghee,Cardamom,Vegetarian",,,,TRUE,FALSE,,,,
Motichoor Laddoo,400,,,"Tiny pearls of besan, fried and sweetened into soft laddoos.",,TRUE,FALSE,"Tiny Pearls,Soft,Sweet,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Boondi Laddoo,400,,,"Soft, golden sweet balls made from tiny fried gram flour pearls soaked in syrup",,TRUE,FALSE,"Soft,Golden,Syrup-soaked,Vegetarian",,,,TRUE,FALSE,,,,
Mohan Thal,400,,,Fudge made from roasted gram flour and ghee a Gujarati favourite.,,TRUE,FALSE,"Fudge,Roasted,Ghee,Gujarati,Vegetarian",,,,TRUE,FALSE,,,,
Shreekhand,300,,,"Soft textured sweet (name regional, kept for authenticity)",,TRUE,FALSE,"Soft Texture,Regional,Vegetarian",,,,TRUE,FALSE,,,,
Mix Mithai Box,1500,,,An assorted box of classic mithais a perfect gift.,,TRUE,FALSE,"Assorted,Classic,Gift,Vegetarian",,,,TRUE,FALSE,,,,
Ghari,300,,,Traditional festive sweet stuffed with nuts & khoya.,,TRUE,FALSE,"Traditional,Festive,Nuts,Khoya,Vegetarian",,,,TRUE,FALSE,,,,
Ghewar,450,,,Rajasthani honeycomb dessert soaked in syrup and cream.,,TRUE,FALSE,"Rajasthani,Honeycomb,Syrup-soaked,Creamy,Vegetarian",,,,TRUE,FALSE,,,,
Vanilla Milkshake,70,,,"Classic vanilla milkshake, creamy and refreshing.",,TRUE,FALSE,"Classic,Creamy,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Strawberry Milkshake,80,,,"Sweet strawberry milkshake, fruity and creamy.",,TRUE,FALSE,"Fruity,Creamy,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Chocolate Milkshake,80,,,"Rich chocolate milkshake, indulgent and satisfying.",,TRUE,FALSE,"Rich,Chocolatey,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Kit-Kat Milkshake,90,,,"Milkshake blended with Kit-Kat pieces, crunchy and sweet.",,TRUE,FALSE,"Crunchy,Sweet,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Oreo Milkshake,90,,,"Creamy milkshake blended with Oreo cookies, classic and delightful.",,TRUE,FALSE,"Classic,Creamy,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Mango Smoothie,90,,,"Freshly blended mango smoothie, tropical and sweet.",,TRUE,FALSE,"Tropical,Fruity,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Strawberry Smoothie,90,,,"Freshly blended strawberry smoothie, sweet and refreshing.",,TRUE,FALSE,"Fruity,Refreshing,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Watermelon Smoothie,80,,,"Refreshing watermelon smoothie, hydrating and naturally sweet.",,TRUE,FALSE,"Refreshing,Fruity,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Fresh Milk Smoothie,70,,,"Simple and creamy fresh milk smoothie, pure and wholesome.",,TRUE,FALSE,"Creamy,Pure,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Green Tea,40,,,"Light and refreshing green tea, known for its health benefits.",,TRUE,FALSE,"Light,Refreshing,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Lemon Tea,40,,,"Zesty lemon-infused black tea, refreshing and tangy.",,TRUE,FALSE,"Zesty,Refreshing,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Fresh Pudina Tea,45,,,Aromatic and refreshing tea infused with fresh mint leaves.,,TRUE,FALSE,"Aromatic,Refreshing,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Five Roses Tea,35,,,"Classic Five Roses black tea, rich and robust.",,TRUE,FALSE,"Classic,Robust,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Karak Tea,40,,,Strong and milky traditional Karak tea.,,TRUE,FALSE,"Strong,Milky,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Milk Tea,30,,,"Simple and comforting milk tea, perfect for any time of day.",,TRUE,FALSE,"Comforting,Milky,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Blue Macaw (Blue Lagoon) Mocktail,100,,,Vibrant blue mocktail with a refreshing tropical flavor.,,TRUE,FALSE,"Vibrant,Tropical,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Mint Mojito,90,,,"Classic mint mojito, refreshing and tangy.",,TRUE,FALSE,"Refreshing,Tangy,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Lemonade Mojito,90,,,"Zesty lemonade infused with fresh mint, a refreshing twist.",,TRUE,FALSE,"Zesty,Refreshing,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Sunset Mojito,110,,,"A colorful mocktail reminiscent of a sunset, sweet and fruity.",,TRUE,FALSE,"Colorful,Fruity,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Berry Mint Crush,100,,,"A delightful crush of mixed berries and fresh mint, sweet and tart.",,TRUE,FALSE,"Fruity,Tart,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Pina Colada Mocktail,120,,,"Tropical blend of pineapple and coconut cream, rich and creamy.",,TRUE,FALSE,"Tropical,Creamy,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Malawian Shandies,80,,,A unique and refreshing Malawian-inspired shandy.,,TRUE,FALSE,"Unique,Refreshing,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Rainbow Mojito,110,,,A visually stunning mojito with layers of colorful flavors.,,TRUE,FALSE,"Colorful,Fruity,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Passion Fruit Mojito,100,,,"Exotic passion fruit infused mojito, tangy and sweet.",,TRUE,FALSE,"Exotic,Tangy,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Peach Lemonade Mocktail,90,,,Sweet peach combined with tangy lemonade for a refreshing drink.,,TRUE,FALSE,"Sweet,Tangy,Cold,Non-Alcoholic",,,,FALSE,FALSE,,,,
Cafe Latte,70,,,Smooth and creamy coffee beverage with steamed milk.,,TRUE,FALSE,"Creamy,Smooth,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Mocha-Chino,80,,,"Rich blend of coffee, chocolate, and milk, sweet and indulgent.",,TRUE,FALSE,"Rich,Chocolatey,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Ice Latte,70,,,"Chilled coffee beverage with milk, cool and refreshing.",,TRUE,FALSE,"Chilled,Refreshing,Cold,Vegetarian",,,,TRUE,FALSE,,,,
C-Latte,70,,,"A unique C-Latte, rich and satisfying.",,TRUE,FALSE,"Unique,Rich,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Macchiato,60,,,Strong espresso with a dollop of foamed milk.,,TRUE,FALSE,"Strong,Bold,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Machaccino,80,,,"A delightful Machaccino, creamy and flavorful.",,TRUE,FALSE,"Creamy,Flavorful,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Hazelnut Latte,85,,,Creamy latte with a rich hazelnut flavor.,,TRUE,FALSE,"Creamy,Nutty,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Americano,50,,,"Bold and strong coffee, similar to a black coffee but with a richer flavor.",,TRUE,FALSE,"Bold,Strong,Hot,Vegetarian",,,,TRUE,FALSE,,,,
Cocktail Juice,70,,,A refreshing blend of various fruit juices.,,TRUE,FALSE,"Mixed Fruit,Refreshing,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Watermelon Juice,60,,,"Freshly squeezed watermelon juice, sweet and hydrating.",,TRUE,FALSE,"Fruity,Hydrating,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Apple Juice,70,,,"Crisp and sweet apple juice, a classic choice.",,TRUE,FALSE,"Fruity,Sweet,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Pineapple Juice,70,,,"Tropical and tangy pineapple juice, refreshing and vibrant.",,TRUE,FALSE,"Tropical,Tangy,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Mango Juice,80,,,"Rich and sweet mango juice, a taste of the tropics.",,TRUE,FALSE,"Fruity,Sweet,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Sweet Melon Juice,60,,,"Light and refreshing sweet melon juice, perfect for hot days.",,TRUE,FALSE,"Fruity,Refreshing,Cold,Vegetarian",,,,TRUE,FALSE,,,,
Punjabi Samosa (2P),20,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Samosa (2P),30,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Spring Roll (2P),30,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Spring Roll (2P),40,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Plain Salted Chips,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Masala Chips,45,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Puri Bhaji,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Channa Poha,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chole Bhature,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chole Kulche,100,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Aloo Paratha,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Onion Paratha,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Gobi Paratha,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
ChurChur Paratha Paneer,85,,,,,TRUE,FALSE,,,,,TRUE,,,,,
ChurChur Paratha Chicken,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Medu Vada,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Idly,40,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Onion Uthapum,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Tomato Uthapum,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Mix Uthapum,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Set Dosa,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Mysore Dosa,80,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Metre Dosa,150,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Dosa,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Kheema Dosa,110,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Sweet Corn Soup,70,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Tomato Soup,70,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Manchow Soup,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Manchow Soup,65,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Manchow Soup,70,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Hot & Sour Soup,60,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Egg Hot & Sour Soup,65,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Hot & Sour Soup,70,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Veg Manchurian Dry,95,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Sweet Chilly Paneer,130,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Hot Dragon,130,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer 65,130,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Kung Pao Chips,95,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Veg Seekh Kebab,125,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Paneer Tikka,130,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Tawa Grilled Fish,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Tandoori Fish,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Crispy Prawns,195,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Sweet Chilly Prawns,195,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Tandoori Chicken 1/2,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Tandoori Chicken 1/4,85,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Tandoori Wings (6P),150,,,,,TRUE,FALSE,,,,,TRUE,,,,,
Chicken Tikka,135,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Malai Tikka,135,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Seekh Kebab,145,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Malabar Chicken Fry,150,,,,,TRUE,FALSE,,,,,FALSE,,,,,
Chicken Lolipop (6P),110,,,,,TRUE,FALSE,,,,,FALSE,,,,,
